,cevae_ite
811,-0.019865153
812,-0.017831502
813,-0.022864897
814,-0.010108163
815,-0.009895044
816,-0.014376778
817,-0.013374123
818,-0.021686502
819,-0.019438693
820,-0.018417655
821,-0.01396042
822,-0.012889674
823,-0.018453099
824,-0.015779309
825,-0.019302787
826,-0.01744107
827,-0.020030269
828,-0.022892429
829,-0.029762981
830,-0.014656556
831,-0.020378863
832,-0.013425491
833,-0.022562401
834,-0.012152528
835,-0.013707423
836,-0.016801929
837,-0.019260636
838,-0.020858986
839,-0.015338959
840,-0.013213488
841,-0.021857111
842,-0.014186187
843,-0.026657548
844,-0.014742739
845,-0.012729233
846,-0.010462077
847,-0.021626666
848,-0.019029291
849,-0.015996329
850,-0.015202444
851,-0.028744327
852,-0.014332148
853,-0.021558847
854,-0.018524269
855,-0.01382025
856,-0.012853943
857,-0.008254495
858,-0.010211223
859,-0.020449845
860,-0.016640732
861,-0.012982467
862,-0.012466818
863,-0.009161689
864,-0.023076361
865,-0.018700613
866,-0.01432617
867,-0.012485183
868,-0.016008878
869,-0.010051246
870,-0.016462754
871,-0.013699654
872,-0.009888248
873,-0.018725708
874,-0.008525141
875,-0.014631257
876,-0.020649783
877,-0.025516937
878,-0.013496231
879,-0.026481325
880,-0.008146819
881,-0.014233338
882,-0.011042875
883,-0.01940902
884,-0.011209672
885,-0.017678298
886,-0.010612122
887,-0.019322062
888,-0.018627293
889,-0.019509079
890,-0.010080481
891,-0.019590382
892,-0.013084599
893,-0.020411784
894,-0.013193831
895,-0.02022629
896,-0.015441179
897,-0.012244577
898,-0.01225596
899,-0.019160954
900,-0.01743474
901,-0.022617582
902,-0.019826563
903,-0.018623764
904,-0.019315254
905,-0.016651502
906,-0.020280743
907,-0.021082446
908,-0.011775845
909,-0.012125816
910,-0.018186877
911,-0.013712832
912,-0.018999131
913,-0.026010629
914,-0.0181132
915,-0.015827052
916,-0.014130726
917,-0.012833557
918,-0.021122767
919,-0.013435957
920,-0.014611915
921,-0.014448506
922,-0.019142121
923,-0.009065504
924,-0.015065446
925,-0.025485575
926,-0.018977456
927,-0.014639528
928,-0.019238388
929,-0.023663448
930,-0.017726673
931,-0.012436903
932,-0.019450752
933,-0.020751469
934,-0.017385937
935,-0.023451701
936,-0.014814429
937,-0.015315344
938,-0.016794555
939,-0.021313168
940,-0.014874257
941,-0.014004302
942,-0.015378175
943,-0.018169004
944,-0.020380197
945,-0.016265275
946,-0.02106089
947,-0.01146772
948,-0.017946066
949,-0.016550258
950,-0.020775028
951,-0.015403755
952,-0.026853962
953,-0.02160918
954,-0.014396877
955,-0.01649672
956,-0.01648877
957,-0.019377096
958,-0.017865293
959,-0.023427876
960,-0.019024687
961,-0.021488568
962,-0.015322221
963,-0.017284567
964,-0.016069571
965,-0.013807282
966,-0.015934994
967,-0.018256903
968,-0.013826561
969,-0.010421158
970,-0.01234029
971,-0.01328953
972,-0.013769785
973,-0.020951411
974,-0.012266644
975,-0.018922575
976,-0.012437305
977,-0.018573539
978,-0.012856922
979,-0.01871199
980,-0.017546831
981,-0.023623424
982,-0.025516178
983,-0.024805048
984,-0.015390152
985,-0.019220188
986,-0.009813931
